PAYWALL SITE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Paywall= 1 None=0,API codes
aljazeera,https://www.aljazeera.com/,https://aljazeera.net/Views/Shared/shared/images/media/favicon.ico,Al Jazeera,2,1,5,5,5,19080,N,2,QAT,0,0,WA
alternet,https://www.alternet.org/,https://www.alternet.org/favicon.ico,AlterNet,1,1,2,2,2,1140,N,2,USA,1,0,WB
americanconservative,https://www.theamericanconservative.com/,https://2qkhyt1u78lw1ll02a1kxrzq-wpengine.netdna-ssl.com/wp-content/themes/dod/src/static/images/favicon/touch-icon-114.png,American Conservative,4,1,3,4,4,22055,E,2,USA,2,0,WC
americanspectator,http://spectator.org,https://149366087.v2.pressablecdn.com/wp-content/uploads/2019/03/cropped-favicon-150x150.png,American Spectator,5,5,5,4,4,21919,N,2,USA,3,1,WD
americanthinker,https://www.americanthinker.com/,https://www.americanthinker.com/favicon.ico,American Thinker,5,5,3,3,3,19675,N,2,USA,4,0,WE
antiwar,http://antiwar.com/#spider,https://www.antiwar.com/images/favicons/apple-touch-icon.png?v=5ABYOaRGEk,AntiWar,5,1,5,3,4,6311,P,2,USA,5,0,WF
ap,https://apnews.com/,https://apnews.com/branding/favicon/24.png,Associated Press,3,5,4,4,4,106145,E,2,USA,6,0,WG
bbc,https://www.bbc.com/news,https://static.bbci.co.uk/wwhp/1.143.0/responsive/img/apple-touch/apple-touch-180.jpg,BBC News,3,5,4,4,4,305176,E,2,GBR,7,0,WH
bloomberg,https://www.bloomberg.com/,https://assets.bwbx.io/s3/javelin/public/hub/images/apple-touch-icon-57x57-b572ef8093.png,Bloomberg,3,5,5,5,5,1713,E,2,USA,8,1,WI
breitbart,http://www.breitbart.com,http://www.breitbart.com/favicon.ico,Breitbart,5,3,2,1,2,19334,E,2,USA,9,0,WJ
businessinsider,http://businessinsider.com,https://www.businessinsider.com/public/assets/BI/US/favicons/favicon.ico,Business Insider,3,4,4,4,4,4441,N,2,USA,10,0,WK
